symbol,date,long_shares,short_shares,close,equity,market_value,margin,unrealized_pnl
SPY,2022-01-06 05:00:00,266,0,467.94,124472.04,124472.04,0.0,-47.88
SPY,2022-01-07 05:00:00,266,0,466.09,123979.94,123979.94,0.0,-539.98
SPY,2022-01-10 05:00:00,266,0,465.51,123825.66,123825.66,0.0,-694.26
SPY,2022-01-14 05:00:00,268,0,464.72,124544.96,124544.96,0.0,594.96
SPY,2022-01-18 05:00:00,268,0,456.49,122339.32,122339.32,0.0,-1610.68
SPY,2022-01-19 05:00:00,268,0,451.75,121069.0,121069.0,0.0,-2881.0
SPY,2022-01-21 05:00:00,281,0,437.98,123072.38,123072.38,0.0,-1410.62
SPY,2022-01-24 05:00:00,281,0,439.84,123595.04,123595.04,0.0,-887.96
SPY,2022-01-25 05:00:00,281,0,434.47,122086.07,122086.07,0.0,-2396.93
SPY,2022-02-11 05:00:00,279,0,440.46,122888.34,122888.34,0.0,-1341.99
SPY,2022-02-14 05:00:00,279,0,439.02,122486.58,122486.58,0.0,-1743.75
SPY,2022-02-15 05:00:00,279,0,446.1,124461.9,124461.9,0.0,231.57
SPY,2022-02-18 05:00:00,289,0,434.23,125492.47,125492.47,0.0,-291.89
SPY,2022-02-22 05:00:00,289,0,429.57,124145.73,124145.73,0.0,-1638.63
SPY,2022-02-23 05:00:00,289,0,422.07,121978.23,121978.23,0.0,-3806.13
SPY,2022-03-07 05:00:00,292,0,419.43,122473.56,122473.56,0.0,-1868.8
SPY,2022-03-08 05:00:00,292,0,416.25,121545.0,121545.0,0.0,-2797.36
SPY,2022-03-09 05:00:00,292,0,427.41,124803.72,124803.72,0.0,461.36
SPY,2022-04-01 04:00:00,270,0,452.92,122288.4,122288.4,0.0,437.4
SPY,2022-04-04 04:00:00,270,0,456.8,123336.0,123336.0,0.0,1485.0
SPY,2022-04-05 04:00:00,270,0,451.03,121778.1,121778.1,0.0,-72.9
SPY,2022-04-18 04:00:00,282,0,437.97,123507.54,123507.54,0.0,81.78
SPY,2022-04-19 04:00:00,282,0,445.04,125501.28,125501.28,0.0,2075.52
SPY,2022-04-20 04:00:00,282,0,444.71,125408.22,125408.22,0.0,1982.46
SPY,2022-04-22 04:00:00,282,0,426.04,120143.28,120143.28,0.0,-1613.04
SPY,2022-04-25 04:00:00,282,0,428.51,120839.82,120839.82,0.0,-916.5
SPY,2022-04-26 04:00:00,282,0,416.1,117340.2,117340.2,0.0,-4416.12
SPY,2022-05-02 04:00:00,297,0,414.48,123100.56,123100.56,0.0,1190.97
SPY,2022-05-03 04:00:00,297,0,416.38,123664.86,123664.86,0.0,1755.27
SPY,2022-05-04 04:00:00,297,0,429.06,127430.82,127430.82,0.0,5521.23
SPY,2022-05-12 04:00:00,316,0,392.34,123979.44,123979.44,0.0,587.76
SPY,2022-05-13 04:00:00,316,0,401.72,126943.52,126943.52,0.0,3551.84
SPY,2022-05-16 04:00:00,316,0,400.09,126428.44,126428.44,0.0,3036.76
SPY,2022-05-19 04:00:00,321,0,389.46,125016.66,125016.66,0.0,-372.36
SPY,2022-05-20 04:00:00,321,0,389.63,125071.23,125071.23,0.0,-317.79
SPY,2022-05-23 04:00:00,321,0,396.92,127411.32,127411.32,0.0,2022.3
SPY,2022-06-10 04:00:00,310,0,389.8,120838.0,120838.0,0.0,-917.6
SPY,2022-06-13 04:00:00,310,0,375.0,116250.0,116250.0,0.0,-5505.6
SPY,2022-06-14 04:00:00,310,0,373.87,115899.7,115899.7,0.0,-5855.9
SPY,2022-06-17 04:00:00,341,0,365.86,124758.26,124758.26,0.0,27.28
SPY,2022-06-21 04:00:00,341,0,375.07,127898.87,127898.87,0.0,3167.89
SPY,2022-06-22 04:00:00,341,0,374.39,127666.99,127666.99,0.0,2936.01
SPY,2022-06-29 04:00:00,328,0,380.34,124751.52,124751.52,0.0,0.0
SPY,2022-06-30 04:00:00,328,0,377.25,123738.0,123738.0,0.0,-1013.52
SPY,2022-07-01 04:00:00,328,0,381.24,125046.72,125046.72,0.0,295.2
SPY,2022-07-12 04:00:00,325,0,380.83,123769.75,123769.75,0.0,-568.75
SPY,2022-07-13 04:00:00,325,0,378.83,123119.75,123119.75,0.0,-1218.75
SPY,2022-07-14 04:00:00,325,0,377.91,122820.75,122820.75,0.0,-1517.75
SPY,2022-08-22 04:00:00,289,0,413.35,119458.15,119458.15,0.0,-424.83
SPY,2022-08-23 04:00:00,289,0,412.35,119169.15,119169.15,0.0,-713.83
